Sample	Filename	Mate	Name
SRR12927182	~/Demonstration/Samples/SRR12927182/rawdata/SRR12927182_1.fq.gz	1	Experiment_A
SRR12927182	~/Demonstration/Samples/SRR12927182/rawdata/SRR12927182_2.fq.gz	2	Experiment_A
SRR10991486	~/Demonstration/Samples/SRR10991486/rawdata/SRR10991486_1.fq.gz	1	Experiment_A
SRR10991486	~/Demonstration/Samples/SRR10991486/rawdata/SRR10991486_2.fq.gz	2	Experiment_A
SRR10545428	~/Demonstration/Samples/SRR10545428/rawdata/SRR10545428_1.fq.gz	1	Experiment_B
SRR10545428	~/Demonstration/Samples/SRR10545428/rawdata/SRR10545428_2.fq.gz	2	Experiment_B
SRR10037664	~/Demonstration/Samples/SRR10037664/rawdata/SRR10037664_1.fq.gz	1	Experiment_C
SRR10037664	~/Demonstration/Samples/SRR10037664/rawdata/SRR10037664_2.fq.gz	2	Experiment_C
